board_code,board_name,stock_code,stock_name,source,updated_at,confidence
BK1596,其他生物制品,688765,禾元生物-U,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688336,三生国健,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688331,荣昌生物,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688105,诺唯赞,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688180,君实生物-U,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,300485,赛升药业,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688117,圣诺生物,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688506,百利天恒,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,301393,昊帆生物,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688136,科兴制药,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,300357,我武生物,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688293,奥浦迈,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688163,赛伦生物,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,600867,通化东宝,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,920047,诺思兰德,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688488,艾迪药业,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,301080,百普赛斯,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688443,智翔金泰-U,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,000661,长春高新,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688177,百奥泰,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688137,近岸蛋白,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,002773,康弘药业,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,603087,甘李药业,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688520,神州细胞,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,301047,义翘神州,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,600211,西藏药业,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,603590,康辰药业,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688687,凯因科技,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,300009,安科生物,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,920344,三元基因,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,600645,中源协和,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,688278,特宝生物,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,301166,优宁维,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,920547,无锡晶海,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,300239,东宝生物,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,000518,四环生物,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,000534,万泽股份,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1596,其他生物制品,002581,*ST未名,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,688796,百奥赛图,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,301520,万邦医药,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,300149,睿智医药,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,688265,南模生物,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,301230,泓博医药,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,002821,凯莱英,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,301509,金凯生科,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,688202,美迪西,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,300759,康龙化成,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,688621,XD阳光诺,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,688073,毕得医药,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,300347,泰格医药,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,688131,皓元医药,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,300404,博济医药,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,300363,博腾股份,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,300725,药石科技,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,688222,成都先导,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,301257,普蕊斯,eastmoney_push2_clist,2026-06-29T17:30:53,100
BK1600,医疗研发外包,688238,和元生物,eastmoney_push2_clist,2026-06-29T17:30:53,100
