board_type,board_code,board_name,source,member_count,updated_at,confidence
concept,BK1063,重组蛋白,eastmoney_push2_clist,19,2026-06-29T17:30:53,100
concept,BK1146,减肥药,eastmoney_push2_clist,35,2026-06-29T17:30:53,100
concept,BK0899,CRO,eastmoney_push2_clist,38,2026-06-29T17:30:53,100
concept,BK0870,单抗概念,eastmoney_push2_clist,49,2026-06-29T17:30:53,100
concept,BK1106,创新药,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1712,医药医疗风格,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0986,CAR-T细胞疗法,eastmoney_push2_clist,25,2026-06-29T17:30:53,100
concept,BK0949,氦气概念,eastmoney_push2_clist,17,2026-06-29T17:30:53,100
concept,BK0944,肝素概念,eastmoney_push2_clist,13,2026-06-29T17:30:53,100
concept,BK0894,阿兹海默,eastmoney_push2_clist,21,2026-06-29T17:30:53,100
concept,BK0698,免疫治疗,eastmoney_push2_clist,45,2026-06-29T17:30:53,100
concept,BK0935,中芯概念,eastmoney_push2_clist,66,2026-06-29T17:30:53,100
concept,BK0676,独家药品,eastmoney_push2_clist,43,2026-06-29T17:30:53,100
concept,BK1078,肝炎概念,eastmoney_push2_clist,57,2026-06-29T17:30:53,100
concept,BK1121,第四代半导体,eastmoney_push2_clist,4,2026-06-29T17:30:53,100
concept,BK1656,特色药,eastmoney_push2_clist,40,2026-06-29T17:30:53,100
concept,BK0675,病毒防治,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1657,病原体防治,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0981,工业气体,eastmoney_push2_clist,29,2026-06-29T17:30:53,100
concept,BK1056,幽门螺杆菌概念,eastmoney_push2_clist,51,2026-06-29T17:30:53,100
concept,BK0906,流感,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1000,宁组合,eastmoney_push2_clist,24,2026-06-29T17:30:53,100
concept,BK0548,生物疫苗,eastmoney_push2_clist,69,2026-06-29T17:30:53,100
concept,BK0895,维生素,eastmoney_push2_clist,32,2026-06-29T17:30:53,100
concept,BK0939,辅助生殖,eastmoney_push2_clist,54,2026-06-29T17:30:53,100
concept,BK0872,青蒿素,eastmoney_push2_clist,11,2026-06-29T17:30:53,100
concept,BK0806,精准医疗,eastmoney_push2_clist,44,2026-06-29T17:30:53,100
concept,BK1170,AI制药（医疗）,eastmoney_push2_clist,61,2026-06-29T17:30:53,100
concept,BK1658,创新医疗服务,eastmoney_push2_clist,79,2026-06-29T17:30:53,100
concept,BK0693,基因测序,eastmoney_push2_clist,40,2026-06-29T17:30:53,100
concept,BK0889,医美概念,eastmoney_push2_clist,77,2026-06-29T17:30:53,100
concept,BK0615,中药概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1152,高带宽内存,eastmoney_push2_clist,28,2026-06-29T17:30:53,100
concept,BK0936,长寿药,eastmoney_push2_clist,15,2026-06-29T17:30:53,100
concept,BK0996,毛发医疗,eastmoney_push2_clist,18,2026-06-29T17:30:53,100
concept,BK1659,精准诊断,eastmoney_push2_clist,62,2026-06-29T17:30:53,100
concept,BK1012,PVDF概念,eastmoney_push2_clist,16,2026-06-29T17:30:53,100
concept,BK1675,历史新高,eastmoney_push2_clist,72,2026-06-29T17:30:53,100
concept,BK0679,超导概念,eastmoney_push2_clist,19,2026-06-29T17:30:53,100
concept,BK1174,合成生物,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0841,体外诊断概念,eastmoney_push2_clist,69,2026-06-29T17:30:53,100
concept,BK1652,新消费,eastmoney_push2_clist,82,2026-06-29T17:30:53,100
concept,BK0690,氟化工概念,eastmoney_push2_clist,37,2026-06-29T17:30:53,100
concept,BK0887,鸡肉概念,eastmoney_push2_clist,20,2026-06-29T17:30:53,100
concept,BK0536,基金重仓,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1108,科创板做市股,eastmoney_push2_clist,45,2026-06-29T17:30:53,100
concept,BK0999,茅指数,eastmoney_push2_clist,42,2026-06-29T17:30:53,100
concept,BK0610,央视50_,eastmoney_push2_clist,50,2026-06-29T17:30:53,100
concept,BK1068,净水概念,eastmoney_push2_clist,21,2026-06-29T17:30:53,100
concept,BK0668,医疗器械概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0706,人脑工程,eastmoney_push2_clist,49,2026-06-29T17:30:53,100
concept,BK1147,SPD概念,eastmoney_push2_clist,14,2026-06-29T17:30:53,100
concept,BK0856,工业大麻,eastmoney_push2_clist,36,2026-06-29T17:30:53,100
concept,BK1137,存储芯片,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0993,宠物经济,eastmoney_push2_clist,69,2026-06-29T17:30:53,100
concept,BK0611,上证50_,eastmoney_push2_clist,50,2026-06-29T17:30:53,100
concept,BK1048,IGBT概念,eastmoney_push2_clist,43,2026-06-29T17:30:53,100
concept,BK1637,东方财富热股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0882,猪肉概念,eastmoney_push2_clist,36,2026-06-29T17:30:53,100
concept,BK1674,近期新高,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0974,化妆品概念,eastmoney_push2_clist,61,2026-06-29T17:30:53,100
concept,BK1163,可控核聚变,eastmoney_push2_clist,78,2026-06-29T17:30:53,100
concept,BK0868,GDR,eastmoney_push2_clist,11,2026-06-29T17:30:53,100
concept,BK1676,百日新高,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1662,权重股,eastmoney_push2_clist,50,2026-06-29T17:30:53,100
concept,BK0837,互联医疗,eastmoney_push2_clist,97,2026-06-29T17:30:53,100
concept,BK1669,中盘成长,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1711,消费风格,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0979,低碳冶金,eastmoney_push2_clist,7,2026-06-29T17:30:53,100
concept,BK0499,AH股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0811,超级品牌,eastmoney_push2_clist,32,2026-06-29T17:30:53,100
concept,BK0705,上证380,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0638,创业成份,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1665,大盘成长,eastmoney_push2_clist,73,2026-06-29T17:30:53,100
concept,BK1630,昨日首板,eastmoney_push2_clist,54,2026-06-29T17:30:53,100
concept,BK0664,婴童概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1670,中盘价值,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1107,科创板做市商,eastmoney_push2_clist,14,2026-06-29T17:30:53,100
concept,BK1640,价值股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1682,2026一季报扭亏,eastmoney_push2_clist,11,2026-06-29T17:30:53,100
concept,BK0907,转基因,eastmoney_push2_clist,17,2026-06-29T17:30:53,100
concept,BK0701,中证500,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1664,中盘股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0821,MSCI中国,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0612,上证180_,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1050,昨日涨停_含一字,eastmoney_push2_clist,73,2026-06-29T17:30:53,100
concept,BK0477,酿酒概念,eastmoney_push2_clist,38,2026-06-29T17:30:53,100
concept,BK1102,空气能热泵,eastmoney_push2_clist,35,2026-06-29T17:30:53,100
concept,BK1655,零售概念,eastmoney_push2_clist,62,2026-06-29T17:30:53,100
concept,BK0653,养老概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0967,水产概念,eastmoney_push2_clist,16,2026-06-29T17:30:53,100
concept,BK1628,2025三季报扭亏,eastmoney_push2_clist,11,2026-06-29T17:30:53,100
